family,dam,sire,purity,cross,settlement,abundance,Percentmortality,obs
F8,O3,O4,pure,OO,12,0,100,1
F14,O5,O3,pure,OO,61,6,90.16393443,2
F17,W11,O6,mix,WO,96,1,98.95833333,3
F18,W11,W10,pure,WW,97,3,96.90721649,4
F28,W5,O3,mix,WO,24,2,91.66666667,5
F9,O3,W11,mix,OW,93,22,76.34408602,6
F15,O5,W11,mix,OW,19,14,26.31578947,7
F5,O6,O3,pure,OO,194,74,61.8556701,8
F19,W11,W5,pure,WW,4,2,50,9
F10,O3,W10,mix,OW,22,11,50,10
F23,W10,W7,pure,WW,2,1,50,11
F27,W5,O6,mix,WO,9,6,33.33333333,12
F2,O4,W11,mix,OW,107,76,28.97196262,13
F6,O6,W10,mix,OW,280,194,30.71428571,14
F13,O5,O6,pure,OO,23,17,26.08695652,15
F22,W10,W11,pure,WW,10,8,20,16
F24,W10,W5,pure,WW,4,3,25,17
F1,O4,O6,pure,OO,43,40,6.976744186,18
F4,O4,W5,mix,OW,36,35,2.777777778,19
F12,O5,O4,pure,OO,17,17,0,20
