family,weight,rep,dam,sire,purity,cross,Percmortality
F1,18.0952381,rep1,O4,O6,pure,OO,6.976744186
F1,14.86666667,rep2,O4,O6,pure,OO,6.976744186
F2,18.7,rep1,O4,W11,mix,OW,28.97196262
F2,13.61538462,rep2,O4,W11,mix,OW,28.97196262
F5,20.05,rep1,O6,O3,pure,OO,61.8556701
F5,13.17391304,rep2,O6,O3,pure,OO,61.8556701
F8,10.1,rep1,O3,O4,pure,OO,100
F8,6.421052632,rep2,O3,O4,pure,OO,100
F13,18.53333333,rep1,O5,O6,pure,OO,26.08695652
F13,13.06666667,rep2,O5,O6,pure,OO,26.08695652
F14,17.93333333,rep1,O5,O3,pure,OO,90.16393443
F14,10.86666667,rep2,O5,O3,pure,OO,90.16393443
F15,18.28571429,rep1,O5,W11,mix,OW,26.31578947
F15,9.2,rep2,O5,W11,mix,OW,26.31578947
F18,11.5,rep1,W11,W10,pure,WW,96.90721649
F18,8.111111111,rep2,W11,W10,pure,WW,96.90721649
F28,10.27777778,rep1,W5,O3,mix,WO,91.66666667
F28,12.33333333,rep1,W5,O3,mix,WO,91.66666667
F6,19.52380952,rep1,O6,W10,mix,OW,30.71428571
F6,17.52941176,rep2,O6,W10,mix,OW,30.71428571
F24,12,rep1,W10,W5,pure,WW,25
F24,9.538461538,rep2,W10,W5,pure,WW,25
F22,14.28571429,rep1,W10,W11,pure,WW,20
F22,9.285714286,rep2,W10,W11,pure,WW,20
F27,11.5,rep1,W5,O6,mix,WO,33.33333333
F27,7.173913043,rep2,W5,O6,mix,WO,33.33333333
F19,10.22222222,rep1,W11,W5,pure,WW,50
F19,10.83333333,rep2,W11,W5,pure,WW,50
F17,8.933333333,rep1,W11,O6,mix,WO,98.95833333
F17,8.615384615,rep2,W11,O6,mix,WO,98.95833333
F12,20.0952381,rep1,O5,O4,pure,OO,0
F12,17.92307692,rep2,O5,O4,pure,OO,0
F10,16.2,rep1,O3,W10,mix,OW,50
F10,16.14285714,rep2,O3,W10,mix,OW,50
F4,17.5,rep1,O4,W5,mix,OW,2.777777778
F4,14.9,rep2,O4,W5,mix,OW,2.777777778
F9,14.90909091,rep1,O3,W11,mix,OW,76.34408602
F9,14.6875,rep2,O3,W11,mix,OW,76.34408602
F9,17.38461538,rep3,O3,W11,mix,OW,76.34408602
F30,8.6,rep1,W5,W7,pure,WW,100
F30,7.733333333,rep2,W5,W7,pure,WW,100
F30,10.08333333,rep3,W5,W7,pure,WW,100
F26,7.933333333,rep1,W10,O4,mix,WO,100
F26,8.375,rep2,W10,O4,mix,WO,100
F21,8.785714286,rep1,W10,O5,mix,WO,100
F21,8.933333333,rep2,W10,O5,mix,WO,100
