,name,family,parentage,mom,dad,purity,type,surv,momtype
f1.1r1,f1.1r1,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
f1.1r2,f1.1r2,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
f1.2r1,f1.2r1,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
f1.2r2,f1.2r2,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
f1.3r1,f1.3r1,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
f1.3r2,f1.3r2,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
f1.4r1,f1.4r1,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
f1.4r2,f1.4r2,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
f1.5r1,f1.5r1,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
f1.5r2,f1.5r2,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
f1.6r1,f1.6r1,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
f1.6r2,f1.6r2,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
fRYr1,fRYr1,F1,MO4xDO6,O4,O6,pure,recruit,80to100,Orpheus
f4.1r1,f4.1r1,F4,MO4xDW5,O4,W5,mix,recruit,80to100,Orpheus
f4.1r2,f4.1r2,F4,MO4xDW5,O4,W5,mix,recruit,80to100,Orpheus
f4.1r3,f4.1r3,F4,MO4xDW5,O4,W5,mix,recruit,80to100,Orpheus
f4.2r1,f4.2r1,F4,MO4xDW5,O4,W5,mix,recruit,80to100,Orpheus
f4.2r2,f4.2r2,F4,MO4xDW5,O4,W5,mix,recruit,80to100,Orpheus
f4.3r1,f4.3r1,F4,MO4xDW5,O4,W5,mix,recruit,80to100,Orpheus
f4.3r2,f4.3r2,F4,MO4xDW5,O4,W5,mix,recruit,80to100,Orpheus
f4.4r1,f4.4r1,F4,MO4xDW5,O4,W5,mix,recruit,80to100,Orpheus
f4.4r2,f4.4r2,F4,MO4xDW5,O4,W5,mix,recruit,80to100,Orpheus
f4.5r1,f4.5r1,F4,MO4xDW5,O4,W5,mix,recruit,80to100,Orpheus
f4.6r1,f4.6r1,F4,MO4xDW5,O4,W5,mix,recruit,80to100,Orpheus
f4br1,f4br1,F4,MO4xDW5,O4,W5,mix,recruit,80to100,Orpheus
f12.1r1,f12.1r1,F12,MO5xDO4,O5,O4,pure,recruit,80to100,Orpheus
f12.1r2,f12.1r2,F12,MO5xDO4,O5,O4,pure,recruit,80to100,Orpheus
f12.1r3,f12.1r3,F12,MO5xDO4,O5,O4,pure,recruit,80to100,Orpheus
f12.1r4,f12.1r4,F12,MO5xDO4,O5,O4,pure,recruit,80to100,Orpheus
f12.2r1,f12.2r1,F12,MO5xDO4,O5,O4,pure,recruit,80to100,Orpheus
f12.2r2,f12.2r2,F12,MO5xDO4,O5,O4,pure,recruit,80to100,Orpheus
f12.2r3,f12.2r3,F12,MO5xDO4,O5,O4,pure,recruit,80to100,Orpheus
f12.2r4,f12.2r4,F12,MO5xDO4,O5,O4,pure,recruit,80to100,Orpheus
f12.3r1,f12.3r1,F12,MO5xDO4,O5,O4,pure,recruit,80to100,Orpheus
f12.3r2,f12.3r2,F12,MO5xDO4,O5,O4,pure,recruit,80to100,Orpheus
f12br1,f12br1,F12,MO5xDO4,O5,O4,pure,recruit,80to100,Orpheus
f12br2,f12br2,F12,MO5xDO4,O5,O4,pure,recruit,80to100,Orpheus
f14.1r1N2,f14.1r1N2,F14,MO5xDO3,O5,O3,pure,recruit,less10,Orpheus
f14.1r2,f14.1r2,F14,MO5xDO3,O5,O3,pure,recruit,less10,Orpheus
f14.1r3,f14.1r3,F14,MO5xDO3,O5,O3,pure,recruit,less10,Orpheus
f14cbr1,f14cbr1,F14,MO5xDO3,O5,O3,pure,recruit,less10,Orpheus
f14cbr2,f14cbr2,F14,MO5xDO3,O5,O3,pure,recruit,less10,Orpheus
f14r1,f14r1,F14,MO5xDO3,O5,O3,pure,recruit,less10,Orpheus
f17.2r1,f17.2r1,F17,MW11xDO6,W11,O6,mix,recruit,less10,Wilkie
f18.1r1N2,f18.1r1N2,F18,MW11xDW10,W11,W10,pure,recruit,less10,Wilkie
f18.1r2,f18.1r2,F18,MW11xDW10,W11,W10,pure,recruit,less10,Wilkie
f18.1r3,f18.1r3,F18,MW11xDW10,W11,W10,pure,recruit,less10,Wilkie
f28r3,f28r3,F28,MW5xDO3,W5,O3,mix,recruit,less10,Wilkie
f28r4,f28r4,F28,MW5xDO3,W5,O3,mix,recruit,less10,Wilkie
f8.1r1,f8.1r1,F8,MO3xDO4,O3,O4,pure,recruit,less10,Orpheus
f8.1r2,f8.1r2,F8,MO3xDO4,O3,O4,pure,recruit,less10,Orpheus
f8.1r3,f8.1r3,F8,MO3xDO4,O3,O4,pure,recruit,less10,Orpheus
f8.2r1,f8.2r1,F8,MO3xDO4,O3,O4,pure,recruit,less10,Orpheus
f8.3pbr1,f8.3pbr1,F8,MO3xDO4,O3,O4,pure,recruit,less10,Orpheus
f8.3pbr2,f8.3pbr2,F8,MO3xDO4,O3,O4,pure,recruit,less10,Orpheus
